Date,A,AAL,AAP,ABBV,ABC,ABT,ACN,ADBE,ADM,ADP,AEE,AEP,AES,AFL,AIG,AKAM,ALB,ALGN,ALK,ALL,ALLE,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,AOS,APD,APH,ARE,ATVI,AWK,AXP,GOOG,GOOGL,LNT,MMM,MO
2023-02-06,152.24000549316406,16.920000076293945,151.6699981689453,145.02000427246094,154.49000549316406,110.75,284.4800109863281,375.2300109863281,82.55999755859375,223.47000122070312,85.9000015258789,92.5,26.209999084472656,69.58000183105469,59.959999084472656,87.48999786376953,276.8099975585937,342.4599914550781,52.43000030517578,134.97999572753906,120.87000274658205,11.93000030517578,83.68000030517578,147.08999633789062,243.8500061035156,351.0299987792969,220.57000732421875,102.18000030517578,67.48999786376953,283.0299987792969,81.80000305175781,167.25999450683594,71.58000183105469,156.41000366210938,176.47999572753906,103.47000122070312,102.9000015258789,53.93000030517578,116.5,46.959999084472656
2023-02-07,154.50999450683594,16.959999084472656,151.47000122070312,145.13999938964844,156.7899932861328,111.98999786376952,287.82000732421875,383.8200073242188,82.66000366210938,226.7700042724609,85.98999786376953,92.27999877929688,26.420000076293945,69.94999694824219,60.61000061035156,88.16000366210938,279.3399963378906,345.07000732421875,51.79999923706055,136.72000122070312,120.26000213623048,11.890000343322754,85.91000366210938,146.74000549316406,244.0,353.3299865722656,219.47000122070312,102.11000061035156,66.62999725341797,285.07000732421875,81.3499984741211,166.8300018310547,75.5999984741211,155.47000122070312,178.6999969482422,108.04000091552734,107.63999938964844,53.540000915527344,116.9000015258789,46.560001373291016
2023-02-08,154.4199981689453,16.969999313354492,148.82000732421875,144.61000061035156,157.85000610351562,110.1999969482422,284.7099914550781,378.3599853515625,81.5999984741211,223.97999572753903,84.72000122070312,90.37999725341795,26.15999984741211,70.45999908447266,60.970001220703125,86.2300033569336,268.1499938964844,334.8299865722656,51.4900016784668,136.8300018310547,120.1500015258789,11.260000228881836,84.69000244140625,144.97000122070312,240.1999969482422,352.70001220703125,218.47000122070312,100.0500030517578,66.20999908447266,287.239990234375,81.27999877929688,165.82000732421875,72.88999938964844,150.69000244140625,179.0,100.0,99.37000274658205,52.619998931884766,115.25,46.5
2023-02-09,152.3800048828125,16.65999984741211,151.91000366210938,148.6999969482422,155.02000427246094,108.06999969482422,285.1600036621094,375.80999755859375,80.5999984741211,223.91000366210935,83.72000122070312,88.4800033569336,25.57999992370605,69.62999725341797,60.869998931884766,85.70999908447266,267.3900146484375,321.3800048828125,50.7599983215332,133.55999755859375,118.58000183105467,11.220000267028809,83.20999908447266,144.36000061035156,240.0,348.25,215.19000244140625,98.23999786376952,65.80999755859375,286.8900146484375,80.31999969482422,165.08999633789062,75.26000213623047,149.05999755859375,179.3699951171875,95.45999908447266,95.01000213623048,52.060001373291016,112.93000030517578,46.33000183105469
2023-02-10,152.5500030517578,16.280000686645508,151.8000030517578,152.0500030517578,159.02999877929688,108.16000366210938,283.9599914550781,370.989990234375,82.08999633789062,225.82000732421875,85.5,90.5500030517578,26.11000061035156,69.87999725341797,61.31999969482422,85.5,268.2900085449219,315.8099975585937,49.58000183105469,135.41000366210938,118.08000183105467,11.329999923706056,81.4800033569336,144.69000244140625,242.5,349.7300109863281,216.72000122070312,97.61000061035156,66.11000061035156,287.82000732421875,79.86000061035156,165.67999267578125,75.44999694824219,150.4499969482422,179.25,94.86000061035156,94.56999969482422,53.22999954223633,113.87999725341795,47.2400016784668
2023-02-13,154.60000610351562,16.510000228881836,152.19000244140625,153.72999572753906,158.61000061035156,108.5199966430664,288.3500061035156,375.0,81.9000015258789,227.3600006103516,85.83999633789062,91.08999633789062,26.350000381469727,71.01000213623047,61.959999084472656,87.97000122070312,269.92999267578125,325.260009765625,50.15999984741211,136.50999450683594,119.91999816894533,11.449999809265137,83.12999725341797,145.8300018310547,243.66000366210935,355.3299865722656,217.25999450683597,99.54000091552734,68.02999877929688,286.70001220703125,81.11000061035156,167.0,76.58999633789062,151.7100067138672,181.3300018310547,95.0,94.61000061035156,53.790000915527344,115.27999877929688,47.84999847412109
2023-02-14,153.0399932861328,16.790000915527344,150.75999450683594,152.58999633789062,157.36000061035156,107.26000213623048,284.7699890136719,377.8999938964844,81.77999877929688,224.58999633789065,85.19999694824219,90.4800033569336,26.290000915527344,69.20999908447266,61.52000045776367,87.79000091552734,270.70001220703125,331.5199890136719,50.58000183105469,135.0399932861328,119.86000061035156,11.399999618530272,85.94999694824219,144.3699951171875,241.02999877929688,352.739990234375,215.1499938964844,99.6999969482422,67.4800033569336,281.489990234375,80.7300033569336,165.0800018310547,76.77999877929688,149.30999755859375,181.0200042724609,94.9499969482422,94.68000030517578,53.290000915527344,114.20999908447266,47.40999984741211
2023-02-15,151.75,16.799999237060547,151.2899932861328,151.05999755859375,158.80999755859375,107.27999877929688,287.6499938964844,375.9400024414063,81.73999786376953,227.8500061035156,85.83000183105469,90.91999816894533,26.690000534057617,69.2699966430664,61.83000183105469,78.66000366210938,272.7900085449219,338.3900146484375,50.27000045776367,137.14999389648438,121.58000183105467,11.510000228881836,85.18000030517578,146.1999969482422,240.07000732421875,350.29998779296875,216.6000061035156,101.16000366210938,68.02999877929688,284.4599914550781,81.45999908447266,165.39999389648438,77.69999694824219,149.25,180.6699981689453,97.0999984741211,96.94000244140624,53.43999862670898,114.79000091552734,47.650001525878906
2023-02-16,148.27999877929688,16.389999389648438,150.19000244140625,149.52999877929688,160.47000122070312,106.08000183105467,281.2200012207031,365.1600036621094,81.41999816894531,227.47999572753903,85.83999633789062,90.6999969482422,26.3700008392334,69.12999725341797,62.15999984741211,77.06999969482422,285.6199951171875,326.1700134277344,49.119998931884766,137.10000610351562,118.75,11.40999984741211,80.08000183105469,144.5500030517578,234.22000122070312,349.4700012207031,212.0,98.1500015258789,67.72000122070312,280.7300109863281,81.36000061035156,162.00999450683594,77.51000213623047,147.4600067138672,177.94000244140625,95.77999877929688,95.51000213623048,53.13999938964844,112.0,47.400001525878906
2023-02-17,148.25999450683594,16.360000610351562,149.99000549316406,151.30999755859375,161.49000549316406,106.73999786376952,277.04998779296875,356.8500061035156,81.58999633789062,228.6999969482422,87.26000213623047,92.41000366210938,26.229999542236328,69.37000274658203,60.81999969482422,77.30000305175781,258.010009765625,316.7099914550781,49.09000015258789,135.0500030517578,118.5999984741211,11.420000076293944,78.5,146.49000549316406,240.52999877929688,351.4800109863281,210.25999450683597,97.1999969482422,67.23999786376953,279.7099914550781,81.02999877929688,161.5800018310547,77.56999969482422,149.61000061035156,177.3000030517578,94.58999633789062,94.3499984741211,53.970001220703125,112.98999786376952,48.06999969482422
