Date,A,AAL,AAP,AAPL,ABBV,ABC,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,AEE,AEP,AES,AFL,AIG,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,AON,AOS,APA,APD,APH,APTV,ARE,ATVI,AWK,AXP,GOOG,GOOGL,LNT,MMM,MO
2023-04-19,0.013963885004540405,0.0403521779983069,0.01920218127670005,0.015629722004769794,0.01811300817155872,0.021704811630299792,0.040520040834144413,0.010397893089680664,0.008895999602257494,0.01904709298199245,0.007796346841212212,0.01879186508213586,0.0066807823124588675,0.009967514621154723,0.00930086313947869,0.013877557248485332,0.00956079125047299,0.02313333805895684,0.018613705151005584,0.014963452228757843,0.01712633974909333,0.03586160157814168,0.04054983724832831,0.026177970701580143,0.011038601675083436,0.013503696875308557,0.009025305248944288,0.025794970334091807,0.01431999066526409,0.009707157810307742,0.016900326984398337,0.018546995487762175,0.035762255491810654,0.03153267585443526,0.02167210886452935,0.015832471325607445,0.01708903519513571,0.024233013779917444,0.015318458543997418,0.01189406356158687,0.018713360652640305,0.029862647137999264,0.004093549404925073,0.011073041791224819,0.01703545080680097,0.018329798932538555,0.018333688390424048,0.01428824539245431,0.008295599907883406,0.007318126545153586
2023-04-20,0.016085058320706808,0.02927923412790921,0.01339877920173601,0.013861371996380741,0.007357502170089548,0.012593465365924521,0.020752160826394455,0.013298227621641227,0.012955933523397698,0.01927624884032243,0.03273074797854499,0.013333355938946759,0.010249544401789218,0.008938581583886173,0.009838500138252687,0.02681187126715625,0.013387475100896098,0.020252150468160434,0.02674618735807741,0.018058121360880183,0.037814053024389956,0.0181333590136273,0.032369141482090406,0.046089655722426265,0.014300775783237622,0.04440949259690612,0.0072595209058901764,0.03162799306200088,0.012176506928443501,0.013759922584179208,0.011242676979911903,0.015078510141279809,0.019651295284694528,0.018791416310024345,0.0171278662415875,0.013390552607568345,0.01933985598338374,0.023607410388260284,0.017472425291879264,0.014385699295872969,0.02752637743724557,0.015262855218455261,0.007362450450617525,0.013166697533709667,0.05965216539675188,0.021227583250633533,0.022604209637412827,0.014355822879366556,0.01413153518667466,0.013263765777098762
2023-04-21,0.016967442922213447,0.019403002707723438,0.015833328473593943,0.011877296111579453,0.007203978465387325,0.012235402130373375,0.011105189436643776,0.017717693457783575,0.008793807381978647,0.01323907067606449,0.013738314956021047,0.013043421395817158,0.010083165750886467,0.01389506461450991,0.01149916793132765,0.016666650772094727,0.021976309100775648,0.024636284705328138,0.009770413137378671,0.007289304671293193,0.09634526753597122,0.015233438753627582,0.021391595726267768,0.011746421011318495,0.0165064276483515,0.016657847742809383,0.013562351974618813,0.019676642396915387,0.012138489646083273,0.005207923682778124,0.020948796440568112,0.018418705388840124,0.028702316016286217,0.017129648120781243,0.010631400820655638,0.010491606522674807,0.014539110464494586,0.025517076943869028,0.013181047573055974,0.013664699016201244,0.01595593399722374,0.020331134354346254,0.005845902106116111,0.01437751457132031,0.02161441306207508,0.01090547388688355,0.01157386565144069,0.012298793523528658,0.010145531718323171,0.012134373884624712
2023-04-24,0.010326458540509122,0.038288306348836315,0.01647872197206642,0.010342990957047151,0.01237200607412881,0.010971388247684956,0.014583338660318421,0.018480263795435853,0.009954949560414789,0.014257711705691949,0.00898583983446467,0.012128753959400669,0.00928203456940359,0.016975318505351847,0.013157953324198677,0.01779802598888843,0.008171811004385285,0.014859136671137023,0.00805136169355346,0.010167385980285418,0.03854096585742389,0.030132767352428185,0.03382515072817419,0.01397759038182848,0.014155507980536093,0.012322872267913228,0.009033372226935553,0.0262647374645789,0.007624076268240025,0.012436053688216963,0.017768679471806277,0.01598506652843923,0.03916772147602387,0.014179875161739658,0.016348263799549487,0.01007297325878471,0.013929180353710784,0.029590562529290525,0.009342041820633213,0.007402593439275568,0.0106997182737182,0.015638874596373982,0.013590407930245938,0.014850505455588825,0.024285504976708467,0.018355488920015536,0.018212704378064323,0.013863889900448354,0.009042423094597523,0.01114198978932931
2023-04-25,0.05415354623774919,0.028037356105847747,0.02560993860241917,0.015753811832125188,0.010369869729355894,0.008447844606355188,0.007820320094619198,0.015291371626260337,0.02260803413819919,0.0171812174745938,0.027989356754516036,0.04519104395546404,0.015305425177369275,0.0069413534441343985,0.007099023287114786,0.011730233632220527,0.013836151871011374,0.015701653092858415,0.007046704458049709,0.014848374066318417,0.024283983108747156,0.031776325036525686,0.03247061336741728,0.015664459093141153,0.021579251039640673,0.029292156905212446,0.018484271248252186,0.03937941888051112,0.014788182700875303,0.009066040204887897,0.035895325373501215,0.017497762878847987,0.029248318308724562,0.03007555176994698,0.024848061114009647,0.014165484008153786,0.017500320163086794,0.03197353600998635,0.011381622974344984,0.026980053011399458,0.02795153067710802,0.04322215899204901,0.01671667758067091,0.008201023586251953,0.021009472725353518,0.02753087530837384,0.027443487196832577,0.01076237289360286,0.030085266906359914,0.013619905656264697
2023-04-26,0.0430438396763376,0.03375198688390879,0.022071483178473194,0.015144087754812048,0.01705806214325626,0.016315166225272237,0.010574726674748564,0.016184785642933998,0.01242577789670293,0.03360329501754681,0.015664794496227704,0.03141640707114046,0.05312335460309453,0.02281162442321939,0.023956629641980014,0.03252385157717306,0.015904586714095933,0.02322378022599434,0.016355142963502795,0.023252786183253216,0.03013248789086227,0.019997169882940917,0.017045482767349626,0.01902505887597063,0.03237513653450876,0.015229810011403631,0.016790983863599666,0.02362111614647585,0.021459625079223277,0.02081240015573166,0.020785567567883377,0.03189577471525533,0.024004612229748985,0.028212419632335207,0.016289704033215176,0.013837973429867924,0.018074092158564814,0.04325696424937228,0.021807549105549075,0.03179540465001819,0.01895785111866386,0.014996276514736433,0.04257253934387801,0.021268018141834766,0.01399943911310102,0.03590234666888719,0.035869262882484,0.02120657826750958,0.023610574702759762,0.014135868098565768
2023-04-27,0.018986857630745778,0.05046580844370497,0.02618091755898716,0.020010658772675487,0.04507282646040361,0.015590469824129722,0.01707765065371718,0.039388144841602794,0.02054820624896271,0.027785275297844633,0.04335095799975671,0.02576585632347302,0.0257217464988294,0.016272838437453762,0.01066693125538028,0.01739498738738389,0.06664743302232963,0.024932931856073388,0.02004306328744164,0.02961338426567172,0.04532254126764113,0.055235537047597066,0.027693707072450304,0.01813445846325922,0.030599389429372785,0.0271310778207121,0.02655677287792183,0.0397987564017459,0.026570532330372734,0.022093754257687264,0.03009161731859671,0.02732936390126961,0.03696956446800187,0.03256567942349887,0.019809492807539682,0.021630753241266558,0.05396728529752414,0.025799163569320036,0.018532479257305765,0.02687517692513676,0.05086077807513944,0.02583120735664609,0.013400346699502914,0.032129893956251494,0.017608036225107444,0.04364679558045667,0.044892666562473676,0.0168784089098038,0.021931050208267328,0.04301756385616675
2023-04-28,0.02569590131980702,0.06231667202351017,0.014418844707997123,0.011610097275683741,0.026138148993315697,0.013005682286874003,0.013397263611704362,0.02530973136542991,0.023939460025392663,0.02418160012143662,0.021625524149739037,0.011270456362463458,0.019363611394708807,0.01854550830443762,0.020233745765322726,0.021132713576694682,0.026342219147891092,0.02978880069918854,0.028885872235692042,0.011223595891724215,0.017739637479948465,0.029449698529846344,0.024160130215826203,0.011316495632507837,0.025524978359328036,0.01893302143466368,0.01093891364066335,0.03703700858082766,0.012035117452745653,0.028906347609005602,0.01727185729551362,0.016096645119415946,0.04883832787976913,0.030906573645472866,0.013793376989774299,0.043114643726647035,0.03250843741310238,0.04613299412029351,0.016917994009281758,0.01073270896372464,0.022068798654449547,0.019487825438863748,0.012224899748223106,0.019426677118465432,0.02789141007897232,0.020790981099800262,0.02105461350228029,0.011425481956633935,0.011862192823858529,0.01894341312723208
2023-05-01,0.010141129219896662,0.03671700954656117,0.010520440599202072,0.010672784938254944,0.025307391970190416,0.01576836134468004,0.014760142027176328,0.026745701429330346,0.008803920037439787,0.013390377782582868,0.012435570818246115,0.013881771062864836,0.016732982226601856,0.024880100694732024,0.016621704157200604,0.026770330022375933,0.020892569754850945,0.022791540698666582,0.02688582342409626,0.019617603837772966,0.06041626443815646,0.03778407733056339,0.02483333615481162,0.016053863288046453,0.017708701473332034,0.020717167158113618,0.010849898825161238,0.027093324105585577,0.01650640958953703,0.0134366127914515,0.017152497427871734,0.02320804452537594,0.03341502753684276,0.016608414093953208,0.014800883909163948,0.020560844841469562,0.025235304931042847,0.03008131610978636,0.008778466364410268,0.01569854670219332,0.01820139510631728,0.025693623881620754,0.00710313083037037,0.012824815273820272,0.019897145882521505,0.010955345977213815,0.01091416233444676,0.017363047264850377,0.011998151070086567,0.01318545592739141
2023-05-02,0.021558199993806648,0.02541753203777686,0.033032536121451204,0.016672676689930874,0.025194614478560404,0.027488731353852176,0.013542620055878644,0.020649739839950294,0.022945748094222722,0.02172736311522004,0.024338457647680667,0.028071970490244184,0.03135676316919717,0.01739426597622259,0.02366340996495226,0.03716814771722865,0.021853147047466527,0.036395135346457226,0.0120894488926448,0.015577550293759714,0.022779771315270706,0.04614784197336664,0.029743996601339497,0.0424415365990319,0.019888698960283575,0.01952569873306888,0.02289377273382269,0.026025984235130955,0.03818679481813222,0.015298557408469575,0.03687958917657105,0.030897938441411168,0.026536717870165708,0.0834938852362224,0.02276406519191724,0.01654668753855589,0.022355941328227536,0.07072177712487293,0.01995692936624639,0.022823795206642596,0.017682513643863675,0.0314512926829673,0.020921004445929276,0.0183317591706889,0.0420228544300571,0.03047747928498509,0.033137085775561785,0.018885199156709914,0.02952022904481806,0.025010604017447025
