Date,A,AAL,AAP,AAPL,ABBV,ABC,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BALL,BAX,BBWI,BBY,BDX,BG,BIIB,BIO,BK,BKNG,BKR,BLK,BMY,BR,BRO,BSX,BWA,BXP,CAH,CARR,CAT,CBOE,CBRE,CCL,CDAY,CDNS,CDW,CE,CF,CHRW,CNC,CNP,COF,CPB,CPT,CTLT,CZR,GOOG,GOOGL,KMX,LNT,MMM,MO,T,TECH,WRB
2023-03-10,1896000,27280200,1419000,68572400,6825500,1071800,7042400,3069600,2924600,4148200,3166800,4202000,1652700,1341700,870900,2660400,5486000,3614900,11354000,491000,1298900,2058700,2619300,882900,2668900,1979700,883100,7009600,9475500,70273600,891700,2661800,1010500,2357800,69827500,2911600,495500,694500,1179100,6513300,860900,1971300,1502400,3106500,948900,5299500,1079000,2609800,500800,1489500,5104300,144900,8547100,165330900,1658500,5830400,2397900,2172200,1009300,1040700,880700,165800,8288800,383600,6255300,960900,10282400,636900,1363100,7840300,1774400,2771100,2167100,6072800,5767500,748000,1263000,46525200,1312900,2385300,699100,1524200,2905500,1526600,2949100,6398200,5669100,2612900,815600,2002200,4107100,32850100,35941000,3444800,1126100,3693900,7987400,32018500,897100,2033800
2023-03-13,1771400,32541700,2016900,84457100,7653800,1363000,6553000,3559100,3232100,4203500,3310200,3608200,2236200,1905500,1995000,4420600,5837200,5132800,13489800,570400,1460300,2408200,1838300,1017100,2229700,3208000,874000,8221300,11023600,65269100,1091400,3146000,1375800,2325200,72397100,2314700,798100,1135800,946900,8910000,980700,2427200,2421600,2566800,1112700,5732800,874500,2236400,596100,1660700,6123200,137900,6671200,218403300,2016500,6119800,3813900,3794700,794100,1760600,1027300,156200,14691200,418200,8660700,997600,9598000,668500,1346900,10575700,2891000,3551000,3455500,5558700,4885100,1204000,2570200,50015700,1246100,2309800,729600,1390300,3494300,984900,2883200,4942000,7336300,2421700,727100,3112800,4860200,31508600,37335600,4770700,2172000,4211100,10962400,39835000,987000,1977700
2023-03-14,1255400,35258900,2150700,73695900,6644100,1005500,5093900,3347100,2925600,3850900,4147400,3257800,2478600,1792500,1196700,2926900,5635800,3372700,8186600,465000,1248200,3309300,2037900,871500,3293200,2513800,938200,8322400,9150600,66616300,1274000,3227100,1293800,2461600,60912700,3213600,684500,1261800,830400,8129700,1814500,2742000,2652300,2382600,722300,5394600,1218700,2589300,400500,1417700,5284000,164400,8245700,154255800,1967500,6177500,3565800,3326700,928700,39934100,1110700,231500,9702700,378900,7488600,928600,9408400,520200,1478100,10208300,2956700,3524400,2521600,5854300,3754900,1102700,2322200,45033700,1005700,2190700,872600,2339400,3367600,1675500,4032900,4695500,5396100,2889700,1062200,2503800,3687400,32303900,36050200,2732900,2276400,4772000,9327900,32076200,971500,1488600
2023-03-15,2016700,41843700,1843500,77167900,6304600,1404200,5712100,2857200,4508000,4627100,3972700,3395600,2538000,1857200,1441800,4085000,4902900,3520700,10302500,474400,2001700,2115500,3029300,1105100,2807100,2826400,1065900,9517700,10343200,86177400,1619200,3092300,926300,3117500,70731800,3037100,895800,1514600,1279200,12001200,1293200,2701200,2532800,2291100,1096800,7151400,727300,2296300,481000,1523400,6100800,211200,10894200,131104400,1775000,7016000,2955900,3135300,1231300,6957200,735500,203500,10377800,425600,14303700,1130000,10701900,623800,1502500,10654300,2402700,3635300,2264900,8194600,5471700,797400,2378100,54438600,947600,3116300,926800,2656500,3833900,1337700,3744600,5337700,6946200,2534300,992100,1848500,4586600,38367300,50622100,3883900,2710900,4891700,8897600,34436400,805000,3496200
2023-03-16,1789300,24557900,1911500,76161100,6331200,1131000,5289100,3699600,4119600,6946600,3753500,3313900,2193600,1463000,1497900,4169200,4643700,3083900,13158000,866700,1499300,2508700,1928100,924800,2038800,2727900,1128300,6787700,5619100,115839200,1194700,2326000,933800,2622400,84446900,5143000,634300,1620500,1015700,7570300,900000,2081000,1942000,2277200,1070800,4883200,930500,3171600,440000,1414200,4737300,112300,6747300,108348800,2042600,7920500,2988900,2949800,1226000,2212300,1010600,174500,7326000,337600,12681000,726200,10541100,594200,1378000,7845500,2435000,3755100,1606100,5224300,3555000,818400,2184900,51497900,1289200,3228500,932600,1764100,3746800,1081400,4389000,6044100,3983200,2648200,1059500,1116000,3381600,54499500,65492000,4364500,2090800,3642600,13617300,31731800,621200,3198900
2023-03-17,2046000,31268800,4335100,98944600,42756400,2946200,10848100,4795300,6470800,6725400,6216500,6452400,8927500,2216100,2192100,8072300,8431200,7354500,11535600,1276300,3120400,4859400,2300300,1580800,2577900,9352100,1994100,13761500,24398100,94080800,1855800,7817000,2111100,3456900,87300200,4640900,1048700,2935300,2484200,15840600,1545600,4728400,2985600,5926100,2777100,9409200,1099300,7930300,769300,2613800,7447200,198900,9858900,130665500,2766000,11701700,5143600,7806000,1542800,3876800,1602200,302600,11173700,798800,14502600,2701500,21616900,2113100,2966100,10689300,3404000,4518300,4479100,8427500,7203000,1658400,3344300,53049200,2005900,4539600,1622300,3587800,7624500,2919700,8633600,8686700,6716500,4545200,2214200,4163700,5339300,76140300,61028500,4570000,4035900,11385700,32421700,58728600,1278100,4867100
2023-03-20,1704500,28076200,1791700,73641400,4408200,1031400,6075700,2419000,3182100,3946800,3033500,3646400,2400300,1577400,1022200,2718300,5717700,3125300,7182100,677400,823100,2385600,1795300,632600,1878700,2990200,938600,4974700,6338000,92008900,1240700,2020800,757700,2000700,62388900,2810600,583500,1305100,1074100,6377600,726400,2314100,1652200,1984900,1022300,6440100,709900,2585700,612300,1793700,3054300,140200,4764000,81441200,1383000,6256700,3262400,3113100,951500,2494300,878400,211200,7227600,322900,8112800,924200,9731700,521500,1630800,9053900,2257700,2388500,2255600,3888700,3464200,732400,1795000,45019800,890000,2757000,615100,2215100,3539600,1014000,5290700,5375200,4952500,2404500,990800,1382000,3345400,26033900,32960400,2988300,1720900,2721900,14074200,27382100,700100,2349500
2023-03-21,1392300,17788600,1290000,73938300,4675700,1173100,4475000,1635700,2831200,4479200,3232700,2506300,2230500,1785700,1568600,4532000,5516700,2911600,9632500,638000,996100,1825500,1905100,854600,1835600,2577000,873100,10090100,4808200,85285300,960400,2128600,1028100,2578100,58597300,3593200,514000,1001700,882200,10832400,967000,2182400,1925800,1321500,1473400,5403200,879600,2500000,492100,1431600,3986800,93600,4673300,84854800,1660400,8958300,3274800,3634100,1096300,1623100,621300,156100,6479400,282500,9489300,791200,8039600,536000,1277500,6580500,1859600,2584600,2544500,4283200,3074600,879800,1871700,43641300,958000,2722800,620800,1052000,2363000,971000,3805000,5468700,4360500,1714600,1396600,1397000,3280300,33122800,42110300,2962900,1923900,2623600,14067400,24313200,603700,1551900
2023-03-22,1268500,21378100,2061100,75701800,4376900,722100,3606700,2322200,3059300,3878400,3481000,2721600,1723100,1718900,1663800,3156000,2989700,2015900,5609100,313900,688800,1415200,1515900,1007800,1827800,1856400,730300,8342500,5859400,110816300,1039300,1725100,1096100,1943400,57475400,3037700,435100,1034600,938500,8713000,1023300,2653100,1495100,1382100,877600,3596200,847400,2579900,492200,1058400,4367300,109700,7311600,76925900,2022300,6557700,2908200,2522200,1176700,1097600,530500,155500,4974200,273100,6130100,480100,6657600,566100,1246500,10461900,1602200,2091900,1925100,4161600,2930200,645600,2886800,47728500,1081400,2039800,574500,1176900,2481500,803000,2909700,3832100,2689900,1624100,1243900,1313600,3139500,32336900,43427400,1664400,2038500,2805500,10883600,21071100,616700,1317600
2023-03-23,3297900,25033400,2062700,67622100,4584000,830600,4525000,2018300,5166900,3138600,2658300,3030900,1893900,1549700,1334400,3862100,3238200,2193900,6555000,480900,1360800,1364800,1422800,1006900,1549000,2139700,957300,6182200,6225000,84088900,1271200,2175700,1242100,2053200,57559300,2990600,287500,957000,1205800,7987600,2001900,2892200,1781800,2298100,896300,4252900,735200,2716200,474000,1105800,3727500,155500,6266900,105335900,1461700,4855000,2671800,2161000,934400,1552900,703700,194100,5203500,352500,5711800,483400,6723600,981300,948100,7203600,1748100,4108000,1985700,4330600,2957400,700300,3390300,57700900,715800,2120100,689900,1063700,4168700,1053500,4512700,5062100,4584000,1821100,800600,2225400,2919500,31385800,40797800,1888200,1438000,3177300,15549800,28957800,718600,1089700
